Wedstrijdnummer;Wedstrijddatum (niet geformatteerd);Aanvangstijd;Aanduiding;Thuis team;Uit team;Sport omschrijving;Veld;Accommodatie naam;Plaats;Thuisscore;Uitscore;Bondsofficials
6517;18-2-2013;20:10;1101 Mannen  Zaal (landelijk);Hercules 1;Volendam ZVV 2;Zaal WK;Hercules veld 1;Hercules;UTRECHT;;;R. Zahhaf (Scheidsrechter), S. Gorgosz (Secretaris AV)
148194;22-2-2013;21:10;1214 Mannen Zaal recreatie;DESTO 1;Hercules 3;Zaal WK;Weide Wereld veld 1;Weide Wereld;VLEUTEN;;;A. Kharkhour (Scheidsrechter)
08679;22-2-2013;21:05;B6030 Mannen Zaal beker recreatie 3e ronde;Sporting Martinus 5;Hercules 7;Zaal WK;Emergo hal veld 2;Emergo hal;AMSTELVEEN;;;J.M. Fernandes Lopes (Scheidsrechter)
54423;22-2-2013;19:15;1314 Vrouwen Zaal recreatie;Zwaluwen Utrecht 11 VR2;Hercules VR3;Zaal WK;Nieuw Welgelegen veld 1 (boven topsporthal);Nieuw Welgelegen;UTRECHT;;;B.B.J. Schuwer (Scheidsrechter)
85;24-2-2013;14:00;0512 Mannen Zondag standaard;Hercules 1;Stormvogels 1;Veld ZO;5e veld;"Sportpark ""Voordorp"" - Hercules";UTRECHT;;;O. Broers (Scheidsrechter)
10910;24-2-2013;11:00;0518 Mannen Zondag reserve (A-cat);Hercules 2;Hillegom sv 2;Veld ZO;5e veld;"Sportpark ""Voordorp"" - Hercules";UTRECHT;;;R.L. Roode (Scheidsrechter)
209419;24-2-2013;11:00;516 Vrouwen Zondag (voorjaar);Hercules VR1;Gooi 't sc VR2;Veld ZO;1e veld;"Sportpark ""Voordorp"" - Hercules";UTRECHT;;;
13952;23-2-2013;14:30;0212 Mannen Zaterdag standaard;Hercules 1;CJVV 1;Veld ZA;1e veld;"Sportpark ""Voordorp"" - Hercules";UTRECHT;;;D.R. Vriesenga (Scheidsrechter)
102308;23-2-2013;14:30;0214 Mannen Zaterdag reserve;Elinkwijk 3;Hercules 11;Veld ZA;2e veld;"Sportpark ""Elinkwijk""";UTRECHT;;;
20114;23-2-2013;14:30;0220 A-Junioren (district);Hercules A1;Sparta Nijkerk A1;Veld ZA;5e veld;"Sportpark ""Voordorp"" - Hercules";UTRECHT;;;H. Hartman (Scheidsrechter)
77835;23-2-2013;12:45;0221 A-Junioren (A-cat);SV Nieuw Utrecht A1;Hercules A2;Veld ZA;1e veld;"Sportpark ""Terweide"" - Nieuw Utrecht";UTRECHT;;;W. de Waart (Scheidsrechter)
158619;23-2-2013;13:00;0222 A-Junioren;Hercules A3;Achterveld A1;Veld ZA;8e veld;"Sportpark ""Voordorp"" - Hercules";UTRECHT;;;
159573;23-2-2013;15:00;B3210 A-Junioren beker 1e ronde;Roda 46 A5;Hercules A4;Veld ZA;3e veld licht;"Sportpark ""Burg.Buiningpark""-Roda'46";LEUSDEN;;;
140131;23-2-2013;10:30;0222 A-Junioren;Geinoord N'gein A2;Hercules A5;Veld ZA;5e veld;"Sportpark ""Parkhout"" - Geinoord N";NIEUWEGEIN;;;
204388;23-2-2013;9:00;247 Meisjes D-Pupillen (voorjaar);Delta Sports MD3;Hercules MD1;Veld ZA;2e veld licht;"Sportpark ""De Kruisboog"" - Delta S";HOUTEN;;;